Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.6940403347329576,0.6791765413114003,0.5207306412200876,0.5667410714285714
2,0.692579464279404,0.6912275105714798,0.5238166708796764,0.5276785714285714
3,0.6918841311635897,0.6902945786714554,0.5299229019211324,0.5276785714285714
4,0.686175771346388,0.6813130016837802,0.5431754507920458,0.5488839285714285
5,0.6843971521124359,0.6907880433968135,0.5455821326255477,0.5310267857142857
6,0.6912008853152741,0.690741023847035,0.5273792972699697,0.5321428571428571
